Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Start Year,Start Month,Start Day,End Year,End Month,End Day,"Total Damage, Adjusted ('000 US$)",Total Deaths,Total Affected
Hydrological,Landslide,Landslide (wet),Indonesia,2009,1,18.0,2009,1.0,18.0,,15.0,5.0
Hydrological,Flood,Riverine flood,Indonesia,2008,12,26.0,2009,1.0,12.0,,24.0,15000.0
Hydrological,Flood,Flash flood,Malaysia,2008,12,28.0,2009,1.0,19.0,,,6000.0
Meteorological,Storm,Tropical cyclone,Philippines,2008,5,13.0,2008,5.0,13.0,408.0,1.0,8390.0
Hydrological,Flood,Riverine flood,Philippines,2008,8,8.0,2008,8.0,8.0,,,39530.0
Hydrological,Flood,Flash flood,Philippines,2008,11,21.0,2008,11.0,24.0,5956.0,10.0,239763.0
Hydrological,Flood,Riverine flood,Indonesia,2008,11,15.0,2008,11.0,16.0,,33.0,84420.0
Geophysical,Earthquake,Ground movement,Indonesia,2008,9,9.0,2008,9.0,9.0,,2.0,625.0
Hydrological,Flood,Riverine flood,Vietnam,2008,8,26.0,2008,8.0,28.0,,16.0,
Meteorological,Storm,Tropical cyclone,Vietnam,2008,8,8.0,2008,8.0,11.0,174836.0,162.0,57630.0
Meteorological,Storm,Tropical cyclone,Thailand,2008,5,2.0,2008,5.0,3.0,,,1000.0
Meteorological,Storm,Tropical cyclone,Myanmar,2008,5,2.0,2008,5.0,3.0,5827873.0,138366.0,2420000.0
Hydrological,Flood,Flash flood,Indonesia,2008,4,23.0,2008,4.0,27.0,,,34514.0
Hydrological,Flood,Riverine flood,Indonesia,2008,3,10.0,2008,4.0,3.0,,,60000.0
Climatological,Drought,Drought,Philippines,2007,8,,2007,8.0,,,,
Geophysical,Volcanic activity,Ash fall,Philippines,2007,7,31.0,2007,7.0,31.0,,,14036.0
Hydrological,Flood,Riverine flood,Malaysia,2007,12,7.0,2007,12.0,21.0,549184.0,29.0,29000.0
Meteorological,Storm,Tropical cyclone,Philippines,2007,11,4.0,2007,11.0,6.0,4495.0,8.0,33884.0
Hydrological,Flood,Riverine flood,Vietnam,2007,10,14.0,2007,10.0,24.0,15129.0,15.0,22000.0
Geophysical,Volcanic activity,Ash fall,Indonesia,2007,10,16.0,2007,10.0,18.0,,,22154.0
Hydrological,Flood,Riverine flood,Myanmar,2007,7,6.0,2007,7.0,11.0,,,101920.0
Hydrological,Flood,Riverine flood,Philippines,2007,1,10.0,2007,1.0,24.0,6173.0,9.0,24508.0
Hydrological,Flood,Riverine flood,Indonesia,2007,7,22.0,2007,8.0,7.0,,88.0,3389.0
Hydrological,Flood,Riverine flood,Indonesia,2007,7,,2007,7.0,,,58.0,5000.0
Hydrological,Flood,Riverine flood,Indonesia,2007,5,15.0,2007,6.0,5.0,,4.0,60000.0
Hydrological,Flood,Riverine flood,Indonesia,2007,1,31.0,2007,2.0,22.0,1469029.0,68.0,217087.0
Geophysical,Earthquake,Ground movement,Indonesia,2006,12,1.0,2006,12.0,1.0,,1.0,114.0
Meteorological,Storm,Tropical cyclone,Vietnam,2006,11,30.0,2006,12.0,8.0,709564.0,95.0,1226360.0
Meteorological,Storm,Tropical cyclone,Philippines,2006,10,30.0,2006,11.0,1.0,14124.0,34.0,283021.0
Hydrological,Flood,Flash flood,Vietnam,2006,7,9.0,2006,7.0,11.0,1556.0,4.0,100.0
Hydrological,Flood,Riverine flood,Thailand,2006,8,20.0,2006,12.0,13.0,15467.0,164.0,2212413.0
Meteorological,Storm,Tropical cyclone,Vietnam,2006,9,27.0,2006,10.0,6.0,970982.0,71.0,1467925.0
Hydrological,Flood,Riverine flood,Vietnam,2006,8,10.0,2006,11.0,1.0,,60.0,
Geophysical,Volcanic activity,Ash fall,Philippines,2006,8,13.0,2006,8.0,13.0,,,43849.0
Hydrological,Landslide,Avalanche (wet),Philippines,2006,8,13.0,2006,8.0,13.0,,6.0,1200.0
Hydrological,Flood,Flash flood,Vietnam,2006,7,18.0,2006,7.0,18.0,,12.0,2000.0
Meteorological,Storm,Tropical cyclone,Philippines,2006,6,30.0,2006,8.0,2.0,1004.0,8.0,476027.0
Meteorological,Storm,Tropical cyclone,Philippines,2006,8,2.0,2006,8.0,6.0,210068.0,6.0,15000.0
Geophysical,Earthquake,Tsunami,Indonesia,2006,7,17.0,2006,7.0,17.0,85583.0,802.0,35543.0
Meteorological,Storm,Tropical cyclone,Vietnam,2006,7,11.0,2006,7.0,19.0,,17.0,2000.0
Geophysical,Earthquake,Tsunami,Indonesia,2006,3,14.0,2006,3.0,14.0,,3.0,1202.0
Meteorological,Storm,Tropical cyclone,Vietnam,2006,5,17.0,2006,5.0,17.0,,204.0,600000.0
Meteorological,Storm,Tropical cyclone,Philippines,2006,5,11.0,2006,5.0,12.0,5179.0,41.0,42000.0
Hydrological,Flood,Riverine flood,Indonesia,2006,4,19.0,2006,4.0,23.0,,22.0,402.0
Hydrological,Flood,Flash flood,Philippines,2006,3,4.0,2006,3.0,6.0,,1.0,1000.0
Hydrological,Landslide,Landslide (wet),Indonesia,2006,1,1.0,2006,1.0,4.0,42014.0,156.0,8313.0
Climatological,Drought,Drought,Cambodia,2005,4,,2005,4.0,,,,600000.0
Climatological,Drought,Drought,Thailand,2005,1,,2005,3.0,,674629.0,,
Hydrological,Flood,Riverine flood,Vietnam,2005,9,8.0,2005,9.0,29.0,,39.0,30000.0
Meteorological,Storm,Tropical cyclone,Vietnam,2005,9,18.0,2005,9.0,19.0,32125.0,8.0,8500.0
Meteorological,Storm,Tropical cyclone,Vietnam,2005,9,27.0,2005,9.0,30.0,352172.0,75.0,337660.0
Hydrological,Landslide,Landslide (wet),Myanmar,2005,9,14.0,2005,9.0,15.0,,17.0,16.0
Meteorological,Storm,Storm (General),Vietnam,2005,8,13.0,2005,8.0,16.0,,13.0,6500.0
Hydrological,Flood,Riverine flood,Thailand,2005,8,13.0,2005,8.0,31.0,194357.0,21.0,119310.0
Meteorological,Storm,Storm (General),Thailand,2005,5,21.0,2005,5.0,21.0,395.0,,1500.0
Hydrological,Flood,Flash flood,Indonesia,2005,4,26.0,2005,4.0,27.0,,47.0,768.0
Geophysical,Volcanic activity,Ash fall,Indonesia,2005,4,12.0,2005,4.0,12.0,,,26000.0
Meteorological,Storm,Tropical cyclone,Philippines,2005,3,15.0,2005,3.0,17.0,,18.0,11.0
Meteorological,Storm,Tropical cyclone,Vietnam,2004,11,26.0,2004,11.0,26.0,38197.0,56.0,500000.0
Hydrological,Flood,Flash flood,Thailand,2004,9,15.0,2004,9.0,15.0,,2.0,2000.0
Hydrological,Flood,Riverine flood,Thailand,2004,8,6.0,2004,8.0,30.0,,9.0,500000.0
Meteorological,Storm,Storm (General),Thailand,2004,5,20.0,2004,5.0,23.0,,13.0,5050.0
Meteorological,Storm,Tropical cyclone,Myanmar,2004,5,19.0,2004,5.0,19.0,1143.0,236.0,25000.0
Hydrological,Landslide,Landslide (wet),Indonesia,2004,4,22.0,2004,4.0,22.0,,13.0,7.0
Meteorological,Storm,Tropical cyclone,Indonesia,2004,3,30.0,2004,3.0,30.0,,,1315.0
